"latin_binomial"	"common_name"	"pt"	"max"
Cinnamomum cassia	Cassia cinnamon	Cinnamon	"9e19900a-c256-4161-a4cb-37967de32e4f"
Cinnamomum cassia	Chinese cinnamon	Cinnamon	"9e19900a-c256-4161-a4cb-37967de32e4f"
Cinnamomum cassia	Chinese cinnamon tree	Cinnamon	"9e19900a-c256-4161-a4cb-37967de32e4f"
Cinnamomum cassia	Cinnamon	Cinnamon	"9e19900a-c256-4161-a4cb-37967de32e4f"
Cinnamomum cassia	Rou gui	Cinnamon	"9e19900a-c256-4161-a4cb-37967de32e4f"
Cinnamomum verum	Ceylon cinnamon	Cinnamon	"9d42816a-df2d-41f8-a728-c6955510a842"
Cinnamomum verum	Cinnamon	Cinnamon	"9d42816a-df2d-41f8-a728-c6955510a842"
Cinnamomum verum	True cinnamon	Cinnamon	"9d42816a-df2d-41f8-a728-c6955510a842"
Cinnamomum verum	Tvak	Cinnamon	"9d42816a-df2d-41f8-a728-c6955510a842"
Cistus creticus	Hairyrockrose	Hairyrockrose	"6ac9ceff-0dc5-4b76-a837-99113b023309"
Citrullus lanatus	Watermelon	Watermelon	e4202b00-592f-438c-8f14-9e0bfc321e3a
Citrus aurantium	Bitter orange	Suan cheng	ffc08e9b-fb49-4725-b08f-5b90cec86ec5
Citrus aurantium	Seville orange	Suan cheng	ffc08e9b-fb49-4725-b08f-5b90cec86ec5
Citrus aurantium	Suan cheng	Suan cheng	ffc08e9b-fb49-4725-b08f-5b90cec86ec5
Citrus reticulata	Ju	Tangerine	f08de32b-e9b0-451c-9cca-2792c2e699ca
Citrus reticulata	Mandarin orange	Tangerine	f08de32b-e9b0-451c-9cca-2792c2e699ca
Citrus reticulata	Tangerine	Tangerine	f08de32b-e9b0-451c-9cca-2792c2e699ca
Citrus sinensis	Blood orange	Valencia orange	fa359a58-4397-4b97-af26-db65997f7df3
Citrus sinensis	Navel orange	Valencia orange	fa359a58-4397-4b97-af26-db65997f7df3
Citrus sinensis	Red orange	Valencia orange	fa359a58-4397-4b97-af26-db65997f7df3
Citrus sinensis	Sweet orange	Valencia orange	fa359a58-4397-4b97-af26-db65997f7df3
Citrus sinensis	Tian cheng	Valencia orange	fa359a58-4397-4b97-af26-db65997f7df3
Citrus sinensis	Valencia orange	Valencia orange	fa359a58-4397-4b97-af26-db65997f7df3
Codonopsis pilosula	Bellflower	Dang shen	bfc46ca0-6dc4-4661-b408-2d473caa287f
Codonopsis pilosula	Dang shen	Dang shen	bfc46ca0-6dc4-4661-b408-2d473caa287f
Cola nitida	Bitter cola	Kola	"4e4cfcbe-4eee-4d9c-ae4a-37f711a44146"
Cola nitida	Gbanja kola	Kola	"4e4cfcbe-4eee-4d9c-ae4a-37f711a44146"
Cola nitida	Kola	Kola	"4e4cfcbe-4eee-4d9c-ae4a-37f711a44146"
Commiphora mukul	Guggul	Indian bdellium-tree	d9412417-1759-4dff-b538-21b9de52e0b5
Commiphora mukul	Gugul	Indian bdellium-tree	d9412417-1759-4dff-b538-21b9de52e0b5
Commiphora mukul	Indian bdellium-tree	Indian bdellium-tree	d9412417-1759-4dff-b538-21b9de52e0b5
Conyza canadensis	Butterweed	Canadian horseweed	a0c3317d-85ae-42f4-85b7-a1cefd48e103
Conyza canadensis	Canadian horseweed	Canadian horseweed	a0c3317d-85ae-42f4-85b7-a1cefd48e103
Coptis chinensis	Chinese goldthread	Huanglian	c8b0dced-200d-4043-b061-449a4eb11d4e
Coptis chinensis	Golden thread	Huanglian	c8b0dced-200d-4043-b061-449a4eb11d4e
Coptis chinensis	Huang lian	Huanglian	c8b0dced-200d-4043-b061-449a4eb11d4e
Coptis chinensis	Huanglian	Huanglian	c8b0dced-200d-4043-b061-449a4eb11d4e
Cordyceps militaris	Cordycepsmilitaris	Cordycepsmilitaris	b92bab33-24d8-48ac-ba55-096f777a6666
Coriandrum sativum	Chinese parsley	Parsley- Chinese	efe90f96-cced-42b9-b846-83a8a43fd452
Coriandrum sativum	Chinese-parsley	Parsley- Chinese	efe90f96-cced-42b9-b846-83a8a43fd452
Coriandrum sativum	Cilantro	Parsley- Chinese	efe90f96-cced-42b9-b846-83a8a43fd452
Coriandrum sativum	Coriander	Parsley- Chinese	efe90f96-cced-42b9-b846-83a8a43fd452
Coriandrum sativum	Parsley- Chinese	Parsley- Chinese	efe90f96-cced-42b9-b846-83a8a43fd452
Cornus officinalis	Asiatic cornelian cherry	Shan zhu yu	"925d414e-a63b-4599-a772-5303612b5f54"
Cornus officinalis	Asiatic dogwood	Shan zhu yu	"925d414e-a63b-4599-a772-5303612b5f54"
Cornus officinalis	Shan zhu yu	Shan zhu yu	"925d414e-a63b-4599-a772-5303612b5f54"
Corylus avellana	Cobnut	Hazelnut tree	fd33a9f8-7f47-4c4d-a6b0-e7b0e4524988
Corylus avellana	European filbert	Hazelnut tree	fd33a9f8-7f47-4c4d-a6b0-e7b0e4524988
Corylus avellana	European hazel	Hazelnut tree	fd33a9f8-7f47-4c4d-a6b0-e7b0e4524988
Corylus avellana	Giant filbert	Hazelnut tree	fd33a9f8-7f47-4c4d-a6b0-e7b0e4524988
Corylus avellana	Hazel	Hazelnut tree	fd33a9f8-7f47-4c4d-a6b0-e7b0e4524988
Corylus avellana	Hazelnut tree	Hazelnut tree	fd33a9f8-7f47-4c4d-a6b0-e7b0e4524988
Crataegus laevigata	English hawthorn	Woodland hawthorn	f3062263-d7a7-4986-9232-b83fcfa265da
Crataegus laevigata	Hawthorn	Woodland hawthorn	f3062263-d7a7-4986-9232-b83fcfa265da
Crataegus laevigata	Maytree	Woodland hawthorn	f3062263-d7a7-4986-9232-b83fcfa265da
Crataegus laevigata	Two-style hawthorn	Woodland hawthorn	f3062263-d7a7-4986-9232-b83fcfa265da
Crataegus laevigata	Whitethorn	Woodland hawthorn	f3062263-d7a7-4986-9232-b83fcfa265da
Crataegus laevigata	Woodland hawthorn	Woodland hawthorn	f3062263-d7a7-4986-9232-b83fcfa265da
Crataegus monogyna	Hawthorn	One-style hawthorn	"9fc7a2f5-a93a-40d6-b606-72edca12054d"
Crataegus monogyna	Oneseed hawthorn	One-style hawthorn	"9fc7a2f5-a93a-40d6-b606-72edca12054d"
Crataegus monogyna	One-style hawthorn	One-style hawthorn	"9fc7a2f5-a93a-40d6-b606-72edca12054d"
Crithmum maritimum	Rock samphire	Sea-fennel	"118a271b-b866-4bf6-8add-d0ddbdbf7a5c"
Crithmum maritimum	Sea-fennel	Sea-fennel	"118a271b-b866-4bf6-8add-d0ddbdbf7a5c"
Cuminum cyminum	Cumin	Cumin	"936a2873-b894-481b-b98d-255b4f3a1da0"
Curcuma longa	Common turmeric	Turmeric	b6f89b94-b46e-446e-9047-3a333a2bfb2c
Curcuma longa	Curcuma	Turmeric	b6f89b94-b46e-446e-9047-3a333a2bfb2c
Curcuma longa	Indian-saffron	Turmeric	b6f89b94-b46e-446e-9047-3a333a2bfb2c
Curcuma longa	Jianghuang	Turmeric	b6f89b94-b46e-446e-9047-3a333a2bfb2c
Curcuma longa	Turmeric	Turmeric	b6f89b94-b46e-446e-9047-3a333a2bfb2c
Curcuma longa	Yellow ginger	Turmeric	b6f89b94-b46e-446e-9047-3a333a2bfb2c
Curcuma zedoaria	Karcura	Karcura	eecc0e97-31fc-4e04-8617-73fe26d55f42
Cyperus rotundus	Coco-grass	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Nut-grass	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Nutgrass	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Nutgrass alingale	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Nut sedge	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Purple nut sedge	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Red nut sedge	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Suo cao	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Xiangfu	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
Cyperus rotundus	Xiang fu zi	Xiang fu zi	dcbb6363-de9f-4076-9ff7-a2263e02f24a
