"concept_id_1"	"concept_id_2"	"relationship_id"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000389	-7001059	napdi_pt	2000-01-01	2099-02-22	""
-7000773	-7001060	napdi_pt	2000-01-01	2099-02-22	""
-7000772	-7001060	napdi_pt	2000-01-01	2099-02-22	""
-7000283	-7001061	napdi_pt	2000-01-01	2099-02-22	""
-7000284	-7001061	napdi_pt	2000-01-01	2099-02-22	""
-7000286	-7001061	napdi_pt	2000-01-01	2099-02-22	""
-7000287	-7001061	napdi_pt	2000-01-01	2099-02-22	""
-7000285	-7001061	napdi_pt	2000-01-01	2099-02-22	""
-7000783	-7001062	napdi_pt	2000-01-01	2099-02-22	""
-7000782	-7001062	napdi_pt	2000-01-01	2099-02-22	""
-7000739	-7001063	napdi_pt	2000-01-01	2099-02-22	""
-7000740	-7001063	napdi_pt	2000-01-01	2099-02-22	""
-7000554	-7001064	napdi_pt	2000-01-01	2099-02-22	""
-7000552	-7001064	napdi_pt	2000-01-01	2099-02-22	""
-7000555	-7001064	napdi_pt	2000-01-01	2099-02-22	""
-7000553	-7001064	napdi_pt	2000-01-01	2099-02-22	""
-7000556	-7001064	napdi_pt	2000-01-01	2099-02-22	""
-7000938	-7001065	napdi_pt	2000-01-01	2099-02-22	""
-7000937	-7001065	napdi_pt	2000-01-01	2099-02-22	""
-7000936	-7001065	napdi_pt	2000-01-01	2099-02-22	""
-7000801	-7001066	napdi_pt	2000-01-01	2099-02-22	""
-7000803	-7001066	napdi_pt	2000-01-01	2099-02-22	""
-7000802	-7001066	napdi_pt	2000-01-01	2099-02-22	""
-7000606	-7001067	napdi_pt	2000-01-01	2099-02-22	""
-7000729	-7001068	napdi_pt	2000-01-01	2099-02-22	""
-7000730	-7001068	napdi_pt	2000-01-01	2099-02-22	""
-7000524	-7001069	napdi_pt	2000-01-01	2099-02-22	""
-7000520	-7001069	napdi_pt	2000-01-01	2099-02-22	""
-7000523	-7001069	napdi_pt	2000-01-01	2099-02-22	""
-7000522	-7001069	napdi_pt	2000-01-01	2099-02-22	""
-7000519	-7001069	napdi_pt	2000-01-01	2099-02-22	""
-7000521	-7001069	napdi_pt	2000-01-01	2099-02-22	""
-7000008	-7001070	napdi_pt	2000-01-01	2099-02-22	""
-7000386	-7001071	napdi_pt	2000-01-01	2099-02-22	""
-7000384	-7001071	napdi_pt	2000-01-01	2099-02-22	""
-7000385	-7001071	napdi_pt	2000-01-01	2099-02-22	""
-7000383	-7001071	napdi_pt	2000-01-01	2099-02-22	""
-7000028	-7001072	napdi_pt	2000-01-01	2099-02-22	""
-7000573	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000571	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000574	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000569	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000572	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000566	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000567	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000568	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000570	-7001073	napdi_pt	2000-01-01	2099-02-22	""
-7000538	-7001074	napdi_pt	2000-01-01	2099-02-22	""
-7000534	-7001074	napdi_pt	2000-01-01	2099-02-22	""
-7000535	-7001074	napdi_pt	2000-01-01	2099-02-22	""
-7000537	-7001074	napdi_pt	2000-01-01	2099-02-22	""
-7000536	-7001074	napdi_pt	2000-01-01	2099-02-22	""
-7000761	-7001075	napdi_pt	2000-01-01	2099-02-22	""
-7000760	-7001075	napdi_pt	2000-01-01	2099-02-22	""
-7000070	-7001076	napdi_pt	2000-01-01	2099-02-22	""
-7000069	-7001076	napdi_pt	2000-01-01	2099-02-22	""
-7000068	-7001076	napdi_pt	2000-01-01	2099-02-22	""
-7000532	-7001077	napdi_pt	2000-01-01	2099-02-22	""
-7000533	-7001077	napdi_pt	2000-01-01	2099-02-22	""
-7000402	-7001078	napdi_pt	2000-01-01	2099-02-22	""
-7000400	-7001078	napdi_pt	2000-01-01	2099-02-22	""
-7000401	-7001078	napdi_pt	2000-01-01	2099-02-22	""
-7000230	-7001079	napdi_pt	2000-01-01	2099-02-22	""
-7000229	-7001079	napdi_pt	2000-01-01	2099-02-22	""
-7000231	-7001079	napdi_pt	2000-01-01	2099-02-22	""
-7000409	-7001080	napdi_pt	2000-01-01	2099-02-22	""
-7000408	-7001080	napdi_pt	2000-01-01	2099-02-22	""
-7000410	-7001080	napdi_pt	2000-01-01	2099-02-22	""
-7000855	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000857	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000853	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000858	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000854	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000859	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000856	-7001081	napdi_pt	2000-01-01	2099-02-22	""
-7000161	-7001082	napdi_pt	2000-01-01	2099-02-22	""
-7000160	-7001082	napdi_pt	2000-01-01	2099-02-22	""
-7000158	-7001082	napdi_pt	2000-01-01	2099-02-22	""
-7000159	-7001082	napdi_pt	2000-01-01	2099-02-22	""
-7000825	-7001083	napdi_pt	2000-01-01	2099-02-22	""
-7000824	-7001083	napdi_pt	2000-01-01	2099-02-22	""
-7000827	-7001083	napdi_pt	2000-01-01	2099-02-22	""
-7000826	-7001083	napdi_pt	2000-01-01	2099-02-22	""
-7000501	-7001084	napdi_pt	2000-01-01	2099-02-22	""
-7000098	-7001085	napdi_pt	2000-01-01	2099-02-22	""
-7000100	-7001085	napdi_pt	2000-01-01	2099-02-22	""
-7000099	-7001085	napdi_pt	2000-01-01	2099-02-22	""
-7000097	-7001085	napdi_pt	2000-01-01	2099-02-22	""
-7000365	-7001086	napdi_pt	2000-01-01	2099-02-22	""
-7000366	-7001086	napdi_pt	2000-01-01	2099-02-22	""
-7000431	-7001087	napdi_pt	2000-01-01	2099-02-22	""
-7000430	-7001087	napdi_pt	2000-01-01	2099-02-22	""
