"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000110	Largehead Atractylodes[Atractylodes macrocephala]	NaPDI research	NAPDI	White Atractylodes	""	"89b3f47a-cdff-4029-94d4-469a32824b91"	2000-01-01	2099-02-22	""
-7000111	White Atractylodes[Atractylodes macrocephala]	NaPDI research	NAPDI	White Atractylodes	""	"89b3f47a-cdff-4029-94d4-469a32824b91"	2000-01-01	2099-02-22	""
-7000112	Indian-lilac[Azadirachta indica]	NaPDI research	NAPDI	Nimtree	""	"5abcdc70-9d19-4ef5-856e-3a273c1d9329"	2000-01-01	2099-02-22	""
-7000113	Margosa[Azadirachta indica]	NaPDI research	NAPDI	Nimtree	""	"5abcdc70-9d19-4ef5-856e-3a273c1d9329"	2000-01-01	2099-02-22	""
-7000114	Neem[Azadirachta indica]	NaPDI research	NAPDI	Nimtree	""	"5abcdc70-9d19-4ef5-856e-3a273c1d9329"	2000-01-01	2099-02-22	""
-7000115	Nimtree[Azadirachta indica]	NaPDI research	NAPDI	Nimtree	""	"5abcdc70-9d19-4ef5-856e-3a273c1d9329"	2000-01-01	2099-02-22	""
-7000116	Bacopa[Bacopa monnieri]	NaPDI research	NAPDI	Water hyssop	""	ae731326-0799-4e27-b673-c1515fde858f	2000-01-01	2099-02-22	""
-7000117	Moneywort[Bacopa monnieri]	NaPDI research	NAPDI	Water hyssop	""	ae731326-0799-4e27-b673-c1515fde858f	2000-01-01	2099-02-22	""
-7000118	Water hyssop[Bacopa monnieri]	NaPDI research	NAPDI	Water hyssop	""	ae731326-0799-4e27-b673-c1515fde858f	2000-01-01	2099-02-22	""
-7000119	Ballota[Ballota nigra]	NaPDI research	NAPDI	Marrubium Nigrum	""	"96f2c87e-471d-41c4-8d58-b7325c35978b"	2000-01-01	2099-02-22	""
-7000120	Black hempnettle[Ballota nigra]	NaPDI research	NAPDI	Marrubium Nigrum	""	"96f2c87e-471d-41c4-8d58-b7325c35978b"	2000-01-01	2099-02-22	""
-7000121	Black horehound[Ballota nigra]	NaPDI research	NAPDI	Marrubium Nigrum	""	"96f2c87e-471d-41c4-8d58-b7325c35978b"	2000-01-01	2099-02-22	""
-7000122	Black Stinking Horehound[Ballota nigra]	NaPDI research	NAPDI	Marrubium Nigrum	""	"96f2c87e-471d-41c4-8d58-b7325c35978b"	2000-01-01	2099-02-22	""
-7000123	Marrubium Nigrum[Ballota nigra]	NaPDI research	NAPDI	Marrubium Nigrum	""	"96f2c87e-471d-41c4-8d58-b7325c35978b"	2000-01-01	2099-02-22	""
-7000124	Blue barberry[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000125	Holly barberry[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000126	Holly mahonia[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000127	Mahonia[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
